epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6064,1.10355,1.98169,1.25563,0.79266,0.69183,0.80721,0.57718,1.08101,1.92382,1.30983,0.000472805,0.000472805,0.000472805
2,64.6312,1.08226,1.43039,1.22873,0.78399,0.74924,0.81268,0.58925,1.20854,1.61169,1.36695,0.000930345,0.000930345,0.000930345
3,100.496,1.07834,1.32569,1.23747,0.61706,0.64798,0.60986,0.42589,1.16464,1.80672,1.36277,0.00136902,0.00136902,0.00136902
4,138.375,1.05671,1.20588,1.22627,0.7581,0.74499,0.7876,0.60062,1.07082,1.31239,1.29066,0.00134412,0.00134412,0.00134412
5,176.927,1.02523,1.13814,1.20552,0.82352,0.8082,0.86789,0.64825,1.02868,1.14834,1.2519,0.00131582,0.00131582,0.00131582
6,215.672,1.00218,1.07878,1.19548,0.86197,0.76183,0.84131,0.68244,1.01736,1.18737,1.24834,0.00128753,0.00128753,0.00128753
7,254.789,0.9792,1.04372,1.18612,0.80927,0.78177,0.82184,0.63223,1.0685,1.21909,1.2815,0.00125923,0.00125923,0.00125923
8,293.06,0.9756,1.01901,1.1789,0.87234,0.79049,0.86147,0.71222,0.95665,1.03175,1.21789,0.00123094,0.00123094,0.00123094
9,331.437,0.95583,0.97386,1.17942,0.78661,0.78544,0.84886,0.70015,0.95744,1.14581,1.20741,0.00120265,0.00120265,0.00120265
10,370.738,0.94214,0.94778,1.16489,0.86402,0.81286,0.88157,0.73361,0.89285,0.9499,1.1613,0.00117435,0.00117435,0.00117435
11,409.605,0.92558,0.92696,1.15582,0.81,0.82896,0.86237,0.71096,0.9421,1.08236,1.20093,0.00114606,0.00114606,0.00114606
12,448.53,0.92049,0.9166,1.14793,0.86075,0.84508,0.89878,0.74777,0.90957,0.90027,1.18206,0.00111776,0.00111776,0.00111776
13,488.702,0.91241,0.90246,1.14984,0.84601,0.82599,0.87329,0.70414,0.94392,0.96862,1.22132,0.00108947,0.00108947,0.00108947
14,528.099,0.8934,0.89679,1.1475,0.86222,0.84841,0.87886,0.73476,0.89658,0.96175,1.17812,0.00106118,0.00106118,0.00106118
15,567.15,0.87778,0.87272,1.12959,0.88079,0.84859,0.88919,0.75141,0.87753,0.90916,1.15703,0.00103288,0.00103288,0.00103288
16,606.143,0.8808,0.85145,1.12782,0.85832,0.84344,0.88337,0.75028,0.87764,0.89346,1.17255,0.00100459,0.00100459,0.00100459
17,644.913,0.86003,0.83666,1.12134,0.85546,0.84772,0.86952,0.73061,0.89048,0.89396,1.15587,0.000976293,0.000976293,0.000976293
18,684.101,0.84924,0.8339,1.11947,0.86539,0.83788,0.88026,0.75655,0.85566,0.93249,1.14663,0.000947999,0.000947999,0.000947999
19,722.751,0.84761,0.80283,1.11159,0.87005,0.86279,0.89238,0.7602,0.86684,0.84711,1.16164,0.000919704,0.000919704,0.000919704
20,761.428,0.85374,0.82002,1.12394,0.89814,0.82769,0.90186,0.75208,0.87575,0.85288,1.16237,0.00089141,0.00089141,0.00089141
21,800.005,0.82819,0.80132,1.10304,0.84693,0.84429,0.88108,0.76009,0.85706,0.89697,1.14467,0.000863116,0.000863116,0.000863116
22,838.706,0.83358,0.79488,1.10659,0.86378,0.86522,0.90089,0.77231,0.85327,0.82791,1.14278,0.000834822,0.000834822,0.000834822
23,877.676,0.8298,0.772,1.09826,0.89709,0.84644,0.89719,0.75665,0.83986,0.82404,1.1403,0.000806528,0.000806528,0.000806528
24,916.142,0.82208,0.77219,1.09519,0.91379,0.83801,0.89931,0.77417,0.83908,0.80769,1.1441,0.000778233,0.000778233,0.000778233
25,955.163,0.81055,0.75307,1.09738,0.89391,0.85754,0.90155,0.77458,0.85298,0.80835,1.15897,0.000749939,0.000749939,0.000749939
26,994.072,0.79768,0.74367,1.08476,0.90929,0.86459,0.91005,0.78216,0.84422,0.80149,1.15022,0.000721645,0.000721645,0.000721645
27,1032.98,0.79301,0.72855,1.08724,0.89046,0.86114,0.91126,0.78713,0.81573,0.79381,1.12608,0.000693351,0.000693351,0.000693351
28,1071.7,0.79623,0.72439,1.08229,0.87122,0.85951,0.89256,0.76386,0.85792,0.83583,1.16196,0.000665057,0.000665057,0.000665057
29,1110.32,0.78786,0.71948,1.08174,0.88134,0.85242,0.89876,0.7797,0.81181,0.79157,1.1307,0.000636762,0.000636762,0.000636762
30,1149,0.77074,0.70605,1.07297,0.8874,0.85355,0.90844,0.78136,0.83755,0.79054,1.1513,0.000608468,0.000608468,0.000608468
31,1187.8,0.7667,0.69754,1.07666,0.86348,0.87893,0.91227,0.78898,0.81614,0.76014,1.12924,0.000580174,0.000580174,0.000580174
32,1226.6,0.75988,0.67785,1.06821,0.86745,0.86642,0.90789,0.78011,0.8228,0.73622,1.13862,0.00055188,0.00055188,0.00055188
