epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9456,1.09349,2.06802,1.92116,1.22883,0.82525,0.77057,0.82333,0.61915,0.80823,0.75633,0.8019,0.62704,1.09285,2.19157,1.73011,1.29633,0.000472805,0.000472805,0.000472805
2,104.616,1.081,1.86339,1.39989,1.20787,0.6873,0.65496,0.70021,0.5104,0.68457,0.65103,0.69387,0.52447,1.13817,2.08611,1.86253,1.32749,0.000930345,0.000930345,0.000930345
3,161.472,1.0733,1.90591,1.29182,1.21263,0.62777,0.64843,0.6409,0.47214,0.63058,0.65145,0.643,0.5027,1.12873,1.9002,1.69328,1.30379,0.00136902,0.00136902,0.00136902
4,218.195,1.05336,1.84359,1.18556,1.20185,0.72497,0.77951,0.79122,0.60478,0.73334,0.77616,0.79342,0.60678,1.10227,1.94977,1.36522,1.27917,0.00134412,0.00134412,0.00134412
5,274.469,1.02014,1.77546,1.1078,1.18296,0.83617,0.73706,0.83741,0.64253,0.82158,0.74998,0.83639,0.64321,1.04572,1.94966,1.25136,1.26454,0.00131582,0.00131582,0.00131582
6,330.566,0.99789,1.74706,1.05736,1.17024,0.84528,0.73151,0.83263,0.66878,0.8572,0.72551,0.82503,0.67083,1.01003,1.79555,1.15655,1.24764,0.00128753,0.00128753,0.00128753
7,386.643,0.96154,1.7092,1.01028,1.16295,0.74599,0.75218,0.7936,0.64535,0.74475,0.75218,0.79411,0.6396,0.96155,1.75687,1.13134,1.18984,0.00125923,0.00125923,0.00125923
8,443.046,0.96244,1.72118,0.97697,1.15928,0.78538,0.81039,0.84252,0.66172,0.78599,0.81028,0.83876,0.68193,0.93446,1.64976,1.03996,1.17369,0.00123094,0.00123094,0.00123094
9,497.844,0.95235,1.67432,0.95137,1.161,0.80894,0.80193,0.86701,0.70094,0.81561,0.80928,0.87268,0.70906,0.94738,1.66694,1.06011,1.20916,0.00120265,0.00120265,0.00120265
10,552.352,0.92462,1.64376,0.92194,1.14483,0.88847,0.82877,0.88669,0.74831,0.87875,0.83539,0.88244,0.74224,0.91011,1.68946,0.95191,1.17069,0.00117435,0.00117435,0.00117435
11,607.024,0.91577,1.64748,0.90585,1.1401,0.83169,0.82907,0.8785,0.74158,0.8308,0.82677,0.87615,0.74917,0.89341,1.6391,0.94099,1.16689,0.00114606,0.00114606,0.00114606
12,661.612,0.90594,1.63551,0.89009,1.12721,0.86158,0.79677,0.86457,0.71128,0.86332,0.79798,0.86291,0.71786,0.90942,1.66473,1.01007,1.18118,0.00111776,0.00111776,0.00111776
13,715.878,0.90401,1.62713,0.88556,1.12717,0.90752,0.80666,0.87924,0.73531,0.89822,0.80926,0.87382,0.73619,0.86949,1.64791,0.91827,1.16029,0.00108947,0.00108947,0.00108947
14,772.331,0.88688,1.61326,0.87986,1.12671,0.862,0.7828,0.85173,0.70252,0.85595,0.80083,0.85429,0.71427,0.92231,1.61548,0.98915,1.18271,0.00106118,0.00106118,0.00106118
15,831.435,0.87795,1.56279,0.85172,1.11563,0.8465,0.84908,0.88776,0.7545,0.84028,0.85008,0.88479,0.74742,0.88176,1.60311,0.91564,1.16043,0.00103288,0.00103288,0.00103288
16,887.659,0.87205,1.56751,0.84417,1.11023,0.84788,0.85421,0.89586,0.75225,0.84467,0.84919,0.89325,0.75078,0.89586,1.58992,0.8675,1.17068,0.00100459,0.00100459,0.00100459
