epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3394,1.10531,2.04509,2.16136,1.23396,0.72743,0.66791,0.74115,0.54903,0.71894,0.66442,0.73715,0.56099,1.10461,2.00342,1.93903,1.28598,0.000472805,0.000472805,0.000472805
2,115.72,1.09667,1.87202,1.45939,1.21493,0.65894,0.72956,0.72015,0.50253,0.65996,0.72775,0.71729,0.51379,1.18533,2.28386,1.70466,1.34031,0.000930345,0.000930345,0.000930345
3,176.569,1.09472,1.90419,1.33511,1.21857,0.67122,0.63919,0.66053,0.46963,0.67094,0.64983,0.66732,0.48108,1.14916,2.12121,1.65521,1.32227,0.00136902,0.00136902,0.00136902
4,237.96,1.06527,1.87305,1.22024,1.20177,0.7377,0.7517,0.77225,0.59891,0.77056,0.71756,0.77476,0.59695,1.05472,1.91381,1.44096,1.25271,0.00134412,0.00134412,0.00134412
5,299.046,1.02858,1.7938,1.12223,1.18375,0.80576,0.77756,0.83594,0.65986,0.81505,0.78216,0.83979,0.66179,1.03607,1.80796,1.20459,1.22712,0.00131582,0.00131582,0.00131582
6,359.585,1.01208,1.78265,1.07174,1.17628,0.81398,0.79439,0.83477,0.67073,0.81751,0.79854,0.83416,0.67482,1.03719,1.86968,1.18931,1.24768,0.00128753,0.00128753,0.00128753
7,419.951,0.9805,1.74901,1.02909,1.16649,0.82061,0.79867,0.87558,0.70716,0.81649,0.79425,0.86983,0.70741,0.97922,1.78966,1.09265,1.21266,0.00125923,0.00125923,0.00125923
8,480.482,0.98354,1.74488,1.01948,1.16502,0.83871,0.839,0.87875,0.72128,0.83979,0.84042,0.87731,0.72005,0.97209,1.71968,0.99515,1.19955,0.00123094,0.00123094,0.00123094
9,541.364,0.97482,1.71777,0.98181,1.16641,0.82967,0.80404,0.85409,0.70792,0.81816,0.81487,0.85541,0.71441,0.96326,1.79394,1.21564,1.19647,0.00120265,0.00120265,0.00120265
10,602.64,0.94812,1.66992,0.94373,1.1444,0.88892,0.77076,0.8562,0.70414,0.87653,0.78504,0.86112,0.71802,0.95826,1.68427,1.0219,1.17894,0.00117435,0.00117435,0.00117435
11,663.214,0.93732,1.6667,0.92469,1.13753,0.8289,0.84755,0.89054,0.74536,0.82636,0.84733,0.88768,0.73628,0.91885,1.67645,0.91206,1.17075,0.00114606,0.00114606,0.00114606
12,724.114,0.92676,1.65729,0.90936,1.12768,0.84803,0.81818,0.88498,0.7393,0.81607,0.84314,0.88331,0.73767,0.92259,1.65593,0.94422,1.16998,0.00111776,0.00111776,0.00111776
13,784.685,0.91523,1.64366,0.91044,1.12726,0.87633,0.82057,0.88635,0.7373,0.88093,0.82571,0.88875,0.74299,0.89801,1.63505,0.94008,1.16758,0.00108947,0.00108947,0.00108947
14,845.313,0.90312,1.6421,0.89819,1.12727,0.85879,0.84607,0.88562,0.74496,0.861,0.84748,0.88735,0.74065,0.86194,1.59153,0.9155,1.13285,0.00106118,0.00106118,0.00106118
15,905.709,0.88796,1.5895,0.86408,1.11927,0.86353,0.84828,0.89115,0.75497,0.86233,0.84539,0.88962,0.75444,0.88566,1.62638,0.8822,1.15093,0.00103288,0.00103288,0.00103288
16,966.361,0.89201,1.59698,0.86238,1.11091,0.80809,0.85089,0.87736,0.7293,0.83056,0.83527,0.8769,0.72843,0.86966,1.61981,0.89467,1.14217,0.00100459,0.00100459,0.00100459
17,1027.2,0.8724,1.56527,0.84342,1.10802,0.89127,0.84467,0.89637,0.75209,0.89071,0.84647,0.89641,0.75391,0.9055,1.6532,0.86174,1.15032,0.000976293,0.000976293,0.000976293
18,1088.95,0.85747,1.55988,0.83557,1.1059,0.86905,0.84934,0.89553,0.76085,0.88095,0.85449,0.89696,0.76481,0.86605,1.5705,0.8755,1.14238,0.000947999,0.000947999,0.000947999
19,1150.67,0.85736,1.55984,0.80766,1.09679,0.8921,0.86177,0.91227,0.76818,0.8906,0.86221,0.91034,0.75697,0.87064,1.58015,0.82998,1.13941,0.000919704,0.000919704,0.000919704
20,1212.11,0.84672,1.52446,0.81739,1.10109,0.90607,0.82778,0.90119,0.75974,0.90703,0.83207,0.89978,0.75985,0.87687,1.58671,0.83843,1.15535,0.00089141,0.00089141,0.00089141
21,1273.19,0.84315,1.54611,0.7998,1.09753,0.90719,0.83938,0.90585,0.76855,0.90819,0.84065,0.9041,0.76325,0.84363,1.55798,0.81273,1.12198,0.000863116,0.000863116,0.000863116
22,1335.44,0.84319,1.54068,0.80481,1.09239,0.854,0.86257,0.89227,0.75648,0.85708,0.86669,0.89611,0.7627,0.88759,1.56917,0.88281,1.14716,0.000834822,0.000834822,0.000834822
23,1396.32,0.83709,1.52828,0.7815,1.07883,0.86866,0.85544,0.90811,0.77437,0.87031,0.85732,0.90827,0.76366,0.86115,1.51511,0.79957,1.13255,0.000806528,0.000806528,0.000806528
24,1456.48,0.8273,1.51741,0.77889,1.08058,0.86298,0.86437,0.90454,0.77194,0.86291,0.86594,0.90767,0.77021,0.86682,1.53314,0.82717,1.14142,0.000778233,0.000778233,0.000778233
25,1517.39,0.81355,1.49776,0.76083,1.07782,0.89204,0.84566,0.9096,0.77871,0.88563,0.85846,0.90771,0.77679,0.83977,1.4848,0.79615,1.12843,0.000749939,0.000749939,0.000749939
26,1578.26,0.80408,1.4838,0.75057,1.06921,0.87633,0.87193,0.91304,0.78557,0.88237,0.87646,0.91432,0.78146,0.84527,1.53166,0.79137,1.11167,0.000721645,0.000721645,0.000721645
27,1638.64,0.80222,1.48055,0.74524,1.07127,0.87672,0.85214,0.89471,0.76254,0.87885,0.85489,0.89345,0.76709,0.83175,1.4802,0.78788,1.11658,0.000693351,0.000693351,0.000693351
28,1698.94,0.80324,1.48309,0.73527,1.06652,0.88904,0.86342,0.91115,0.78756,0.89635,0.87014,0.91465,0.78367,0.83538,1.45565,0.79171,1.11916,0.000665057,0.000665057,0.000665057
29,1759.82,0.78824,1.48218,0.72743,1.06538,0.88472,0.86977,0.91082,0.78382,0.88751,0.87219,0.91309,0.77555,0.8336,1.46629,0.76882,1.12051,0.000636762,0.000636762,0.000636762
30,1820.92,0.77291,1.45272,0.71504,1.05507,0.91303,0.86365,0.91839,0.79582,0.92014,0.87021,0.91905,0.79427,0.82428,1.4678,0.75357,1.11234,0.000608468,0.000608468,0.000608468
31,1882.7,0.77017,1.43508,0.70876,1.05994,0.87727,0.87608,0.91829,0.80541,0.88507,0.88343,0.92077,0.79099,0.81113,1.50844,0.74569,1.0989,0.000580174,0.000580174,0.000580174
32,1944.52,0.75566,1.42893,0.68744,1.04621,0.88652,0.89047,0.92105,0.80666,0.89523,0.89265,0.9198,0.79592,0.79866,1.41712,0.71738,1.09371,0.00055188,0.00055188,0.00055188
33,2006.35,0.76353,1.42002,0.69738,1.04826,0.89841,0.87031,0.91791,0.79431,0.91381,0.85311,0.91501,0.7812,0.81799,1.46098,0.73847,1.11578,0.000523586,0.000523586,0.000523586
34,2068.01,0.77814,1.46041,0.69445,1.05869,0.91186,0.87139,0.9218,0.81167,0.91528,0.87661,0.92236,0.79996,0.78994,1.42933,0.71624,1.08793,0.000495291,0.000495291,0.000495291
35,2129.46,0.76094,1.39884,0.68411,1.0466,0.87354,0.89464,0.91681,0.78949,0.87252,0.89147,0.91481,0.78322,0.81671,1.44967,0.74199,1.11474,0.000466997,0.000466997,0.000466997
36,2190.52,0.74595,1.41157,0.68399,1.04226,0.89794,0.87981,0.92196,0.80395,0.90659,0.87667,0.91767,0.79144,0.81496,1.46835,0.72508,1.11668,0.000438703,0.000438703,0.000438703
37,2251.51,0.75797,1.40504,0.68039,1.04424,0.89139,0.89298,0.92284,0.80908,0.89174,0.89328,0.92095,0.79758,0.7839,1.41836,0.70172,1.09663,0.000410409,0.000410409,0.000410409
38,2313.02,0.71988,1.36946,0.64807,1.03175,0.92663,0.86646,0.92122,0.80888,0.92121,0.87332,0.92026,0.80068,0.7897,1.41551,0.69676,1.09265,0.000382115,0.000382115,0.000382115
39,2374.08,0.7384,1.37806,0.64169,1.03403,0.90474,0.87492,0.92248,0.80938,0.90507,0.87587,0.92083,0.80008,0.79403,1.4475,0.68764,1.1007,0.00035382,0.00035382,0.00035382
40,2434.89,0.73194,1.37033,0.66014,1.03709,0.90394,0.88796,0.92511,0.81427,0.90572,0.88913,0.92425,0.80254,0.78229,1.41351,0.69012,1.09288,0.000325526,0.000325526,0.000325526
41,2494.88,0.70602,1.34749,0.60833,1.02903,0.89742,0.87548,0.91896,0.80527,0.90331,0.88024,0.91978,0.79721,0.81084,1.43734,0.69004,1.10035,0.000297232,0.000297232,0.000297232
42,2554.11,0.69489,1.30458,0.59493,1.02092,0.88072,0.88016,0.91283,0.80283,0.88678,0.88638,0.9147,0.7921,0.79306,1.41751,0.69804,1.10224,0.000268938,0.000268938,0.000268938
43,2612.88,0.68367,1.28735,0.57302,1.01402,0.92153,0.86313,0.92113,0.80898,0.92271,0.87048,0.91969,0.80383,0.78445,1.41333,0.68542,1.09298,0.000240644,0.000240644,0.000240644
44,2671.81,0.66916,1.2809,0.56082,1.00017,0.89752,0.86772,0.91819,0.80959,0.90452,0.87348,0.91716,0.80663,0.79811,1.42281,0.69061,1.10358,0.000212349,0.000212349,0.000212349
45,2730.93,0.66525,1.29724,0.55146,0.99694,0.90159,0.88669,0.92408,0.81506,0.90608,0.89349,0.9236,0.80838,0.78792,1.40682,0.67234,1.0967,0.000184055,0.000184055,0.000184055
46,2789.79,0.65694,1.26873,0.5532,0.99576,0.88383,0.90071,0.92205,0.81477,0.89251,0.90606,0.92234,0.80939,0.77502,1.40471,0.67201,1.09652,0.000155761,0.000155761,0.000155761
47,2848.67,0.64004,1.23911,0.53353,0.98852,0.89498,0.88632,0.92117,0.81668,0.89926,0.89401,0.92089,0.80239,0.77009,1.39629,0.67048,1.08635,0.000127467,0.000127467,0.000127467
48,2907.33,0.64672,1.2461,0.53368,0.99195,0.92396,0.87211,0.92202,0.82275,0.92978,0.87735,0.92284,0.8082,0.77113,1.39148,0.66731,1.08936,9.91726e-05,9.91726e-05,9.91726e-05
49,2966.32,0.62914,1.224,0.51626,0.97858,0.89855,0.88499,0.91934,0.81801,0.90383,0.89268,0.9202,0.80356,0.77236,1.40541,0.6724,1.089,7.08784e-05,7.08784e-05,7.08784e-05
50,3025.09,0.62159,1.2093,0.50258,0.97538,0.90674,0.88378,0.91836,0.81731,0.91184,0.89192,0.91803,0.80558,0.76938,1.40061,0.66819,1.0899,4.25842e-05,4.25842e-05,4.25842e-05
